S.No.,State/ UT,Total Population in Rural Areas,Estimated Tribal Population in Rural Areas,Sub Centres - Required,Sub Centres - In Position,Sub Centres - Shortfall,Primary Health Centres (PHCs) - Required,Primary Health Centres (PHCs) - In Position,Primary Health Centres (PHCs) - Shortfall,Community Health Centres (CHCs) - Required,Community Health Centres (CHCs) - In Position,Community Health Centres (CHCs) - Shortfall
1,Andhra Pradesh,56311788,4723312,11892,12522,630,1955,1624,-331,488,281,-207
2,Arunachal Pradesh,1069165,744996,313,286,-27,48,97,49,12,48,36
3,Assam,26780516,3638841,5841,4604,-1237,953,938,-15,238,108,-130
4,Bihar,92075028,889200,18533,9696,-8837,3083,1863,-1220,770,70,-700
5,Chhattisgarh,19603658,7377058,4904,5076,172,776,741,-35,194,148,-46
6,Goa,551414,155,110,175,65,18,19,1,4,5,1
7,Gujarat,34670817,7500509,7934,7274,-660,1280,1123,-157,320,305,-15
8,Haryana,16531493,0,3306,2508,-798,551,444,-107,137,107,-30
9,Himachal Pradesh,6167805,266701,1269,2067,798,210,453,243,52,76,24
10,Jammu & Kashmir,9134820,1262945,1995,1907,-88,325,397,72,81,83,2
11,Jharkhand,25036946,7767269,6043,3958,-2085,964,330,-634,241,188,-53
12,Karnataka,37552529,3158558,7931,8870,939,1304,2310,1006,326,180,-146
13,Kerala,17455506,259169,3525,4575,1050,586,809,223,146,224,78
14,Madhya Pradesh,52537899,13550258,12314,8869,-3445,1977,1156,-821,494,333,-161
15,Maharashtra,61545441,8260697,13410,10580,-2830,2189,1809,-380,547,365,-182
16,Manipur,1899624,842941,492,420,-72,77,80,3,19,16,-3
17,Meghalaya,2368971,2137702,758,405,-353,114,109,-5,28,29,1
18,Mizoram,529037,509316,173,370,197,26,57,31,6,9,3
19,Nagaland,1406861,1318698,457,396,-61,68,126,58,17,21,4
20,Odisha,34951234,8599849,8136,6688,-1448,1308,1228,-80,327,377,50
21,Punjab,17316800,0,3463,2950,-513,577,446,-131,144,129,-15
22,Rajasthan,51540236,7997599,11374,11487,113,1851,1517,-334,462,376,-86
23,Sikkim,455962,96608,104,146,42,16,24,8,4,2,-2
24,Tamil Nadu,37189229,586930,7516,8706,1190,1249,1204,-45,312,385,73
25,Tripura,2710051,988644,673,632,-41,106,79,-27,26,11,-15
26,Uttarakhand,7025583,267438,1440,1765,325,238,239,1,59,55,-4
27,Uttar Pradesh,155111022,112898,31037,20521,-10516,5172,3692,-1480,1293,515,-778
28,West Bengal,62213676,4456160,13036,10356,-2680,2148,909,-1239,537,348,-189
29,Andaman & Nicobar Islands,244411,28985,52,114,62,8,19,11,2,4,2
30,Chandigarh,29004,0,5,17,12,0,0,0,0,2,2
31,Dadra & Nagar Haveli,183024,137149,54,50,-4,8,6,-2,2,1,-1
32,Daman & Diu,60331,6693,12,26,14,2,3,1,0,2,2
33,Delhi,419319,0,83,41,-42,13,8,-5,3,0,-3
34,Lakshadweep,14121,13503,4,14,10,0,4,4,0,3,3
35,Puducherry,394341,0,78,53,-25,13,24,11,3,3,0
36,All India Total,833087662,87500780,178267,148124,-30143,29213,23887,-5326,7294,4809,-2485
